Folder,RS_Files_Count
C:/Users/2418120/OneDrive - Cognizant/Desktop/agent-directives/Manual-Code/Object Repository Inspection Agent/Object Repository,16
C:/Users/2418120/OneDrive - Cognizant/Desktop/agent-directives/Manual-Code/Object Repository Inspection Agent/Object Repository/Operations,6
C:/Users/2418120/OneDrive - Cognizant/Desktop/agent-directives/Manual-Code/Object Repository Inspection Agent/Object Repository/Page_React Calculator,10
C:/Users/2418120/OneDrive - Cognizant/Desktop/agent-directives/Manual-Code/Object Repository Inspection Agent/Object Repository/Page_React Calculator/Digits_0_5,6
C:/Users/2418120/OneDrive - Cognizant/Desktop/agent-directives/Manual-Code/Object Repository Inspection Agent/Object Repository/Page_React Calculator/Digits_6_9,4
